2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=tres mecontent, fusion=neutre
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=sec, fusion=courtois
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=tres mecontent, acoustic=tres mecontent, fusion=tres mecontent
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=aggressive, fusion=courtois
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=tres mecontent, fusion=neutre
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=sec, acoustic=aggressive, fusion=sec
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=aggressive, acoustic=aggressive, fusion=aggressive
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=tres mecontent, acoustic=tres mecontent, fusion=tres mecontent
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=sec, fusion=courtois
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=tres mecontent, fusion=tres mecontent
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=aggressive, fusion=courtois
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=tres mecontent, fusion=tres mecontent
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=aggressive, acoustic=aggressive, fusion=aggressive
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=tres mecontent, acoustic=tres mecontent, fusion=tres mecontent
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=aggressive, fusion=courtois
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=tres mecontent, acoustic=tres mecontent, fusion=tres mecontent
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=aggressive, fusion=courtois
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=tres mecontent, acoustic=tres mecontent, fusion=tres mecontent
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=sec, fusion=courtois
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=aggressive, acoustic=courtois, fusion=courtois
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=aggressive, acoustic=courtois, fusion=courtois
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=tres mecontent, fusion=tres mecontent
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=tres mecontent, acoustic=tres mecontent, fusion=tres mecontent
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=aggressive, acoustic=courtois, fusion=courtois
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Client: text=content, acoustic=neutre, fusion=content
2025-08-13 14:10:45 - sentiment_dashboard - INFO - Processing audio: 01670387a8fc69fe.ogg, duration=636.7s, sample_rate=8000Hz
2025-08-13 14:10:46 - sentiment_dashboard - INFO - Processing audio: 01670387a8fc69fe.ogg, duration=636.7s, sample_rate=8000Hz
2025-08-13 14:10:50 - sentiment_dashboard - INFO - Processing audio: tmp_thsjdp_.wav, duration=10.2s, sample_rate=8000Hz
2025-08-13 14:10:52 - sentiment_dashboard - INFO - Sentiment Agent: text=aggressive, acoustic=courtois, fusion=courtois
